sku,image_index,url
12512,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-09.png
12522,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-01.jpg
12522,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-02.jpg
12522,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-03.png
12522,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-04.png
12522,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-05.png
12522,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-06.jpg
12522,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-07.png
12522,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-08.jpg
12522,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-09.jpg
12252,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-01.png
12252,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-02.png
12252,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-03.png
12252,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-04.png
12252,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-05.png
12252,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-06.png
12252,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-07.png
12252,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-08.png
12252,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12252-09.png
12520蓝色,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-01.png
12520蓝色,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-02.png
12520蓝色,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-03.png
12520蓝色,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-04.png
12520蓝色,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-05.png
12520蓝色,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-06.png
12520蓝色,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-07.png
12520蓝色,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-08.png
12520蓝色,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12520__-09.png
BLS-5354-Blanco,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-01.jpg
BLS-5354-Blanco,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-02.png
BLS-5354-Blanco,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-03.png
BLS-5354-Blanco,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-04.png
BLS-5354-Blanco,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-05.png
BLS-5354-Blanco,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-06.png
BLS-5354-Blanco,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-07.jpg
BLS-5354-Blanco,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-08.jpg
BLS-5354-Blanco,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-BLS-5354-Blanco-09.png
